real_price,theme_cat,theme_lic
14.11,Action Figure,FALSE
4.93,Action Figure,FALSE
14.06,Action Figure,FALSE
9.99,Action Figure,FALSE
7.59,Action Figure,FALSE
10.4,Action Figure,FALSE
86.55,Action Figure,FALSE
23.11,Action Figure,FALSE
4.62,Action Figure,FALSE
43.42,Action Figure,FALSE
33.69,Action Figure,FALSE
95.43,Action Figure,FALSE
7.59,Action Figure,FALSE
16.01,Action Figure,TRUE
23.86,Action Figure,FALSE
16.84,Action Figure,FALSE
19.73,Action Figure,FALSE
10.13,Action Figure,FALSE
10.13,Action Figure,FALSE
10.13,Action Figure,FALSE
14.06,Action Figure,FALSE
20.28,Action Figure,FALSE
35.78,Action Figure,FALSE
11.1,Action Figure,FALSE
19.43,Action Figure,FALSE
9.99,Action Figure,FALSE
13.18,Action Figure,FALSE
8.27,Action Figure,FALSE
14.99,Action Figure,FALSE
12.99,Action Figure,FALSE
23.11,Action Figure,FALSE
9.99,Action Figure,FALSE
13.18,Action Figure,FALSE
8.27,Action Figure,FALSE
14.99,Action Figure,FALSE
77.7,Action Figure,FALSE
11.22,Action Figure,FALSE
21.71,Action Figure,FALSE
14.06,Action Figure,FALSE
16.01,Action Figure,TRUE
13.18,Action Figure,FALSE
13.88,Action Figure,FALSE
14.99,Action Figure,FALSE
4.62,Action Figure,FALSE
5.61,Action Figure,FALSE
5.61,Action Figure,FALSE
19.99,Action Figure,FALSE
13.45,Action Figure,FALSE
53.41,Action Figure,FALSE
8.54,Action Figure,FALSE
26.7,Action Figure,FALSE
11.22,Action Figure,FALSE
4.93,Action Figure,FALSE
9.12,Action Figure,FALSE
9.99,Action Figure,FALSE
8.27,Action Figure,FALSE
9.99,Action Figure,FALSE
24.99,Action Figure,FALSE
45.33,Action Figure,FALSE
13.45,Action Figure,FALSE
21.71,Action Figure,FALSE
20.7,Action Figure,FALSE
14.99,Action Figure,FALSE
12.99,Action Figure,FALSE
13.18,Action Figure,FALSE
8.27,Action Figure,FALSE
8.27,Action Figure,FALSE
32.04,Action Figure,FALSE
14.99,Action Figure,FALSE
19.99,Action Figure,FALSE
22.46,Action Figure,FALSE
10.36,Action Figure,FALSE
3.89,Action Figure,FALSE
10.13,Action Figure,FALSE
9.21,Action Figure,FALSE
14.99,Action Figure,FALSE
10.36,Action Figure,FALSE
4.62,Action Figure,FALSE
7.56,Action Figure,FALSE
14.11,Action Figure,FALSE
14.06,Action Figure,FALSE
8.54,Action Figure,FALSE
14.11,Action Figure,FALSE
5.07,Action Figure,FALSE
5.07,Action Figure,FALSE
10.4,Action Figure,FALSE
5.07,Action Figure,FALSE
2.63,Action Figure,FALSE
16.01,Action Figure,TRUE
22.46,Action Figure,FALSE
28.89,Action Figure,FALSE
2.63,Action Figure,FALSE
25.33,Action Figure,FALSE
9.99,Action Figure,FALSE
9.12,Action Figure,FALSE
16.01,Action Figure,TRUE
34.99,Action Figure,FALSE
13.45,Action Figure,FALSE
54.09,Action Figure,FALSE
54.09,Action Figure,FALSE
8.54,Action Figure,FALSE
11.22,Action Figure,FALSE
2.59,Action Figure,FALSE
44.93,Action Figure,FALSE
32.56,Action Figure,FALSE
4.62,Action Figure,FALSE
11.1,Action Figure,FALSE
23.86,Action Figure,FALSE
14.11,Action Figure,FALSE
