set_num,set_name,piece_count,real_price,real_ppp,theme_cat,theme_lic
8985-1,Ackar,55,14.11,0.26,Action Figure,FALSE
8610-1,Ahkmou,27,4.93,0.18,Action Figure,FALSE
8691-1,Antroz,53,14.06,0.27,Action Figure,FALSE
44013-1,AQUAGON,41,9.99,0.24,Action Figure,FALSE
8972-1,Atakus,13,7.59,0.58,Action Figure,FALSE
8904-1,Avak,41,10.4,0.25,Action Figure,FALSE
8943-1,Axalara T9,693,86.55,0.12,Action Figure,FALSE
8733-1,Axonn,196,23.11,0.12,Action Figure,FALSE
8725-1,Balta,22,4.62,0.21,Action Figure,FALSE
8994-1,Baranus V7,263,43.42,0.17,Action Figure,FALSE
8925-1,Barraki Deepsea Patrol,228,33.69,0.15,Action Figure,FALSE
8759-1,Battle of Metru Nui,858,95.43,0.11,Action Figure,FALSE
8975-1,Berix,15,7.59,0.51,Action Figure,FALSE
8519-1,Big Chill,20,16.01,0.8,Action Figure,TRUE
8715-1,BIONICLE Exclusive Accessories,401,23.86,0.06,Action Figure,FALSE
10023-1,Bionicle Master Builder Set,112,16.84,0.15,Action Figure,FALSE
8546-1,Bionicle Power Pack,9,19.73,2.19,Action Figure,FALSE
65295-1,Bionicle twin-pack with gold mask,50,10.13,0.2,Action Figure,FALSE
65297-1,Bionicle twin-pack with gold mask,50,10.13,0.2,Action Figure,FALSE
65296-1,Bionicle twin-pack with gold mask,50,10.13,0.2,Action Figure,FALSE
8696-1,Bitil,54,14.06,0.26,Action Figure,FALSE
6203-1,Black Phantom,124,20.28,0.16,Action Figure,FALSE
65716-1,Bonus/Value Pack,260,35.78,0.14,Action Figure,FALSE
8615-1,Bordakh,32,11.1,0.35,Action Figure,FALSE
8556-1,Boxor Vehicle,157,19.43,0.12,Action Figure,FALSE
44006-1,BREEZ,49,9.99,0.2,Action Figure,FALSE
6227-1,Breez,55,13.18,0.24,Action Figure,FALSE
2142-1,Breez 2.0,29,8.27,0.29,Action Figure,FALSE
44027-1,BREEZ Flea Machine,102,14.99,0.15,Action Figure,FALSE
44005-1,BRUIZER,62,12.99,0.21,Action Figure,FALSE
